store,item,Prophet_MAE,Prophet_RMSE,Prophet_MAPE,Hybrid_MAE,Hybrid_RMSE,Hybrid_MAPE,Hybrid_Tuned_MAE,Hybrid_Tuned_RMSE,Hybrid_Tuned_MAPE
1,1,3.761048498214,4.567373618028593,23.251323788110987,3.777799705107221,4.689634253453902,22.80014839982993,3.6788164813263355,4.463979361561438,22.169891590848938
1,2,6.127426743560229,7.59840581407995,11.028651490857058,6.197222860552261,7.816040332186608,10.92862874467459,5.810334771117306,7.286241575231761,10.335181112418953
1,3,4.798964352888777,6.045437806570793,16.27245358273675,4.645998405321829,5.911829571259795,15.24530808073676,4.6812091818095585,5.880943608238344,15.566098032366979
1,4,3.592911591984152,4.4586305030645965,20.56946239830331,3.704701594699328,4.64203135214607,21.42380784896141,3.415709112710957,4.233071148629543,19.001328648562993
1,5,3.352919592266631,4.301532134590796,23.916742664173327,3.379623937828155,4.33780867303438,23.89894881519817,3.174604511257419,4.137278794164344,22.138838257226663
2,1,4.919129927858353,6.219095764681119,19.941732279179732,5.25200682685082,6.56709229149796,21.18805187650676,4.775390040347681,6.012835614906603,18.85137323350523
2,2,7.397095097048469,9.74859348979555,10.759895835263109,7.876491651336812,10.111261926023555,11.21680234415994,5.921239854089489,7.636897472546916,8.361396552017375
2,3,6.168152129673813,7.962916436640291,13.08093848564797,6.428418798656516,8.075191000027958,13.695668264714897,5.880504254302013,7.567019922718122,12.32432116860838
2,4,4.359293895996201,5.248722026172436,15.777872204510674,4.462853970728539,5.368122038113171,15.499048892981238,4.210279958744891,5.12133952951569,14.926304030953164
2,5,3.896404967315541,5.126226872830473,16.817215448361598,4.022108274921393,5.295975372515111,17.154636943654985,3.7379860799016322,4.97190284460984,15.758333154724024
3,1,3.6886200464380874,4.621743208579831,14.755918689671264,3.920528050326316,4.958028773569453,15.381274319963904,3.6334969549615614,4.548942431743863,14.170056338035785
3,2,6.275870118342273,7.821080342271812,9.57262021699033,6.413465253469734,8.137193429307885,9.574757035390034,5.230803047888311,6.705923010234422,7.786511333571975
3,3,6.707728780752075,8.136170582269875,16.599789071886146,6.6610422835489365,7.959194101123055,16.024727205684467,6.507879710971301,7.8740960498027475,15.860476567441964
3,4,4.359361179867402,5.215738376224314,18.386480756308213,4.417162932688723,5.539271122189182,18.05323494602797,4.240232071977825,5.1269130838012185,17.489482856476503
3,5,3.670484233113278,4.467214259890715,17.9889447724011,4.097891799715183,4.975175760957235,19.64071046667288,3.6593107080537903,4.4393722674721285,17.637174893564243
