store,item,Prophet_MAE,Prophet_RMSE,Prophet_MAPE,Hybrid_MAE,Hybrid_RMSE,Hybrid_MAPE
1,1,3.7610484982139996,4.567373618028593,23.251323788110987,3.777799705107221,4.689634253453902,22.800148399829926
1,2,6.127426743560229,7.59840581407995,11.028651490857058,6.197222860552261,7.816040332186608,10.92862874467459
1,3,4.798964352888777,6.045437806570793,16.27245358273675,4.645998405321829,5.911829571259795,15.245308080736761
1,4,3.592911591984152,4.4586305030645965,20.56946239830331,3.704701594699328,4.64203135214607,21.423807848961406
1,5,3.352919592266631,4.301532134590796,23.916742664173327,3.379623937828155,4.33780867303438,23.898948815198175
2,1,4.919129927858353,6.219095764681119,19.941732279179735,5.25200682685082,6.56709229149796,21.18805187650676
2,2,7.397095097048469,9.74859348979555,10.759895835263109,7.876491651336812,10.111261926023557,11.216802344159941
2,3,6.168152129673813,7.962916436640291,13.08093848564797,6.428418798656516,8.075191000027958,13.695668264714897
2,4,4.359293895996201,5.248722026172436,15.777872204510674,4.462853970728539,5.368122038113171,15.499048892981238
2,5,3.8964049673155405,5.126226872830473,16.817215448361598,4.022108274921393,5.295975372515111,17.154636943654985
3,1,3.6886200464380865,4.621743208579831,14.755918689671264,3.9205280503263156,4.958028773569453,15.381274319963904
3,2,6.275870118342273,7.821080342271812,9.57262021699033,6.413465253469734,8.137193429307885,9.574757035390034
3,3,6.707728780752075,8.136170582269875,16.599789071886146,6.6610422835489365,7.959194101123055,16.024727205684467
3,4,4.359361179867402,5.215738376224314,18.386480756308213,4.417162932688723,5.539271122189182,18.05323494602797
3,5,3.670484233113278,4.467214259890715,17.9889447724011,4.097891799715183,4.975175760957235,19.64071046667288
