store,item,MAE,RMSE,MAPE (%)
1,1,3.7363414866853972,4.53123842852649,22.706814030002626
1,2,6.231744147642025,7.750640780063277,11.148755390483219
1,3,4.780555264406791,6.0347876822152955,16.20126708096289
1,4,3.5530443438057673,4.398620460611649,19.627171574733115
1,5,3.246581507193497,4.274356254346414,22.34016119350114
1,6,6.6498913673416,8.242252057765665,12.065695265486227
1,7,7.273204492196887,8.40003819763872,14.070712966766225
1,8,8.806440632188593,10.745032848069465,13.411713363858363
1,9,6.611769476644724,8.148792268439866,15.296213159409684
1,10,8.2259218183791,10.431182173362854,13.133056982910485
1,11,7.45820381266029,9.474747440750718,12.30590923422435
1,12,5.8354334596282635,7.241754761019047,9.231346814593817
1,13,8.20694231745081,10.19568372313368,10.989878321296466
1,14,6.264167748884589,7.95683729517709,11.655931645266225
1,15,7.826653569149193,9.78638771928203,9.619392684308869
1,16,4.873931893833635,6.050219046171334,23.645610122504497
1,17,4.311950663957824,5.208023403407859,15.98368661768704
1,18,7.82694331121065,9.491158875086684,9.950687382789845
1,19,5.15747336941595,6.3058301920166,14.672013706557745
1,20,5.59963052877866,6.995975764258249,13.1606806488621
1,21,4.720705482699391,5.935642865780285,13.706290909991987
1,22,7.096614328652173,9.136646394172772,10.256824709798456
1,23,4.571525263649106,5.727411833138204,16.43948742313078
1,24,6.686331134906144,8.42469022597254,11.353394030917805
1,25,7.628750067635177,9.422580699225826,10.565636300962037
1,26,5.977555398425074,7.227869400413505,13.625750637548888
1,27,3.5000438785631043,4.19031706965663,18.247807926833712
1,28,8.52532831830203,11.335137622717081,10.397422962206628
1,29,7.437283766447859,9.566692328688433,11.242602905430335
1,30,4.482937668701301,5.608607737655233,12.194089636785495
1,31,6.068656915896952,7.602708570937087,11.394483361973526
1,32,5.319133037613379,6.975417848203694,14.692334399618948
1,33,7.5230665201270694,9.178516080688802,12.331303477318835
1,34,3.6870363283505863,4.694489776029221,16.412188561307847
1,35,7.076728483166789,8.72515183619642,11.647087993075376
1,36,8.147910266623326,10.108668265066937,12.025162440073093
1,37,5.161843957553237,6.4417892950229305,20.547702062445744
1,38,8.814775099532556,11.068100840426766,11.975412279421692
1,39,6.384388013235579,7.700096758607313,17.155403121802223
1,40,4.439262527675078,5.325668247225065,17.956030822621152
1,41,4.31027113535742,5.608796026874889,24.811034566795833
1,42,5.345053463725333,6.548570907160489,17.490768810289122
1,43,6.841318142836105,8.023122967118374,15.860508122122937
1,44,4.904865827894314,6.308865217926616,19.664004910808984
1,45,7.6783619708926025,9.646205696837264,11.053806459043157
1,46,6.082016093852534,8.057302187234662,11.345854178090486
1,47,3.6648974196599315,4.6450602889145705,19.776767569102947
1,48,5.529870567931082,6.99356307866431,12.857498416950367
1,49,4.084325357324754,4.966524418206885,15.501091508069633
1,50,6.798022985154591,8.42722187869468,12.070728975099682
2,1,5.158984081663289,6.39872113509217,21.36858191478571
2,2,7.357367790200078,9.584759931497201,10.575979326265905
2,3,6.266663411449591,8.090174420161366,13.011929434229907
2,4,4.352612451148967,5.251523662150519,15.65695612671866
2,5,3.8137496196942657,5.13711135486179,16.022755205340804
2,6,8.540851611957702,11.06008563210123,12.056386546526978
2,7,7.481573701175256,9.280718261135672,10.294994951737198
2,8,9.680506675812111,11.911951035377474,9.60229899945145
2,9,7.371287015831609,9.148776975256556,11.48392533800766
2,10,9.718328063964476,12.165297757855194,10.791945578882611
2,11,8.145135153631545,10.637795700345198,9.821040490292566
2,12,8.79888834290516,11.032093823047719,9.691398275236658
2,13,10.685861125622598,13.553731176364547,10.594125484077537
2,14,7.477788303534395,8.951748753961791,10.269918436346787
2,15,8.930330768819049,11.479848492629218,8.080481336141048
2,16,5.5241584188716555,7.019609411070525,18.53679220708627
2,17,6.0325595782909165,7.213894689637328,14.460973314129294
2,18,10.490915179308802,12.872323064929956,9.822947409211425
2,19,6.0684733097931565,7.580384288599146,11.64018933492304
2,20,6.772468854162619,8.405681751502945,12.165041010540293
2,21,7.251808785558751,9.2611442788377,13.331221630999302
2,22,7.513993991681792,9.947992026610027,6.9937999395468395
2,23,5.1034019414524,6.534441764322723,13.787969654614837
2,24,7.631453226773967,10.00353632646999,9.30038859490319
2,25,10.611796125614445,13.047584025994013,10.133116942902408
2,26,8.184274374172958,9.6576731908524,13.495726689521476
2,27,4.324330457140134,5.230157778627461,16.39282480675849
2,28,11.020134740920808,13.22949871423094,10.1641993428853
2,29,8.847211421341532,11.26705482696394,10.432122706611045
2,30,7.979395399477874,9.424070185882965,16.639542793128825
2,31,8.118832221957474,10.182934129502089,10.938138201104229
2,32,8.659006473863146,10.488776771445206,14.981963815962922
2,33,9.046317638012482,11.990096522680767,10.448748267524275
2,34,5.322332446343323,6.420369579717722,16.75885821485183
2,35,9.00085650898548,10.758752693541119,11.001146149129024
2,36,10.713298559924757,13.396628026684338,10.687387559446302
2,37,5.4048730841824195,6.940644587397582,14.929258269975184
2,38,9.599163293294753,11.625360783644021,9.3626854980916
2,39,5.588770643603909,7.367420593411958,10.147610431173442
2,40,5.479059732842201,6.761402251710563,15.612029832004085
2,41,4.85256588706849,5.960349102837789,18.883070180348007
2,42,5.108427439579311,6.730944581608515,10.704014823813747
2,43,7.059693968644584,9.118354525975198,10.237219508958878
2,44,5.061608169060024,6.545122038704379,13.796473340252643
2,45,10.569733894944326,12.695389441098714,9.982512208508847
