store,item,Prophet_SMAPE,Hybrid_SMAPE,SMAPE_Improvement
6,47,18.891990408926524,19.73818636585268,-0.8461959569261559
6,5,22.6157009369679,23.42624530042666,-0.8105443634587601
6,23,18.93736583339077,19.544855393970792,-0.6074895605800208
7,1,19.841609719934905,20.4246587692007,-0.5830490492657958
8,1,15.429185219814656,15.972531059692471,-0.5433458398778157
10,5,19.4435771271996,19.93600870770322,-0.4924315805036201
7,16,18.637852903141184,19.09388473771022,-0.4560318345690355
10,41,14.307014766231491,14.756028881771885,-0.4490141155403933
6,17,15.937250029162172,16.334329062128116,-0.3970790329659444
3,4,16.824638765375116,17.209989922034858,-0.3853511566597412
